Country,Year_2015,Year_2016
Slovenia,2063531,2064845
Sweden,9799186,9903122
Swaziland,1319011,1343098
Sint Maarten (Dutch part),38824,40005
Seychelles,93419,94677
Syrian Arab Republic,18734987,18430453
Turks and Caicos Islands,34339,34900
Chad,14009413,14452543
East Asia & Pacific (IDA & IBRD countries),2011274432,2026028438
Europe & Central Asia (IDA & IBRD countries),452962149,455372659
Togo,7416802,7606374
Thailand,68657600,68863514
Tajikistan,8548651,8734951
Turkmenistan,5565284,5662544
Latin America & the Caribbean (IDA & IBRD countries),614891969,621534921
Timor-Leste,1240977,1268671
Middle East & North Africa (IDA & IBRD countries),363027163,369167489
Tonga,106364,107122
South Asia (IDA & IBRD),1744190704,1766383450
Sub-Saharan Africa (IDA & IBRD countries),1005570801,1033106135
Trinidad and Tobago,1360092,1364962
Tunisia,11273661,11403248
Turkey,78271472,79512426
Tuvalu,11001,11097
Tanzania,53879957,55572201
Uganda,40144870,41487965
Ukraine,45154029,45004645
Upper middle income,2560411826,2579909675
Uruguay,3431552,3444006
United States,320896618,323127513
Uzbekistan,31298900,31848200
St. Vincent and the Grenadines,109455,109643
"Venezuela, RB",31155134,31568179
British Virgin Islands,30113,30661
Virgin Islands (U.S.),103574,102951
Vietnam,91713300,92701100
Vanuatu,264603,270402
World,7355220412,7442135578
Samoa,193759,195125
Kosovo,1801800,1816200
"Yemen, Rep.",26916207,27584213
South Africa,55011976.68,55908865
Zambia,16100587,16591390
Zimbabwe,15777451,16150362
